location,bhk,total_sqft,,balcony
Sathya Sai Layout,3,1410.5,,0
Kothannur,4,4800,,2
Vijayanagar,2,1184,,3
Kasturi Nagar,2,1145,,2
Talaghattapura,2,1250,,0
Raja Rajeshwari Nagar,2,1365,,2
Indiranagar HAL 2nd Stage,5,1903,,2
Electronics City Phase 1,2,1222,,2
Subramanyapura,2,870,,2
Kodichikkanahalli,2,1200,,3
Magadi Road,2,1340,,2
Vishwanatha Nagenahalli,2,1008,,2
Yeshwanthpur,2,1105,,2
KR Puram,2,1200,,2
Electronic City,2,1050,,1
Uttarahalli,3,2500,,0
Kodigehaali,2,1350,,1
Singapura Village,2,1080,,1
Raja Rajeshwari Nagar,5,2350,,1.584375738
Battarahalli,3,1665,,3
Hosa Road,3,2370,,2
Thigalarapalya,2,1100,,1
Arekere,2,1113,,1
Electronic City,2,1200,,2
Hosur Road,2,1070,,1
Uttarahalli,3,1776,,2
Sarjapur  Road,3,1776,,2
Electronic City Phase II,1,500,,1
Kanakpura Road,2,1050,,1
Bendiganahalli,3,1170,,1
Hosakerehalli Layout,1,595,,1
Chandapura,3,1445,,2
Chandapura,3,1640,,1
Hosur Road,3,1460,,1
Basaveshwara Nagar,2,1179,,1
Gunjur,2,1122.5,,0
Hennagara,2,793,,1
TC Palaya,2,1400,,2
Ramamurthy Nagar,2,1215,,0
Ferrar Nagar,3,1654,,2
Whitefield,2,1181,,0
7th Phase JP Nagar,2,1200,,2
Varthur,1,595,,1
Varthur,2,1105,,1
Whitefield,2,1255,,2
Magadi Road,3,1550,,2
Green Glen Layout,3,1650,,1.584375738
Subramanyapura,2,912,,1
Hennur Road,2,1218,,1
Kengeri Satellite Town,2,1115,,1
Kanakpura Road,3,1893,,2
BAGUR,3,1600,,2
Electronic City Phase II,2,1275,,2
8th block Koramangala,2,892,,1
Sarjapur  Road,2,1260,,2
Harlur,2,1157,,0
Thubarahalli,2,1150,,2
Whitefield,2,1100,,0
M.G Road,3,1725,,1.584375738
Jigani,2,950,,0
Mahadevpura,2,1220,,1
Sarjapur  Road,2,1130,,2
Marathahalli,3,1486,,1
Byatarayanapura,2,1015,,0
Bannerghatta Road,2,1115,,1
Jakkur,2,1136,,1
Kambipura,4,2700,,3
Naganathapura,3,1200,,2
Srinivasa Nagar,3,1465,,1
Yelahanka,2,1302.5,,0
Basavanagara,2,1200,,2
Horamavu Banaswadi,2,1240,,1
Thanisandra,3,1476,,1
Bellandur,3,1532.5,,0
Konanakunte,2,1268,,1
Hosa Road,3,1450,,2
Marathahalli,4,2932,,1.584375738
Ambedkar Nagar,2,960,,3
Uttarahalli,3,1750,,1.584375738
Lakshminarayana Pura,2,1275,,1
Hebbal,2,1240,,1
1st Phase JP Nagar,2,1215,,1
Hosakerehalli,2,1215,,1
5th Phase JP Nagar,3,1894,,1
Ramamurthy Nagar,3,1693,,2
Kasavanhalli,2,1280,,2
Whitefield,1,630,,2
Attibele,2,1215,,1
Kundalahalli,3,1365,,1
Kaverappa Layout,2,1115,,2
NGR Layout,3,1532.5,,0
Kammanahalli,3,1655,,3
Whitefield,2,1247,,1
Kasavanhalli,2,1237.5,,0
Divya Unnathi Layout,3,1650,,1
Koramangala,2,905,,1
Vasantha Vallabha Nagar,2,1000,,1
Sahakara Nagar,4,2185,,3
Yelahanka,2,1012,,1
Uttarahalli,3,1460,,2
Hosa Road,2,1340,,3
Marathahalli,3,1711,,2
Raja Rajeshwari Nagar,3,1520,,3
Koramangala,3,2826,,1
Kammasandra,2,1115,,1
Chandapura,2,1154,,2
Kothannur,2,1000,,1
sapthagiri Layout,2,1250,,0
Brookefield,3,1640,,2
Seegehalli,2,1012,,1
Rajaji Nagar,3,1527,,2
Sarjapur,3,1550,,2
BEML Layout,2,1200,,2
NGR Layout,3,1885,,1
Varthur,3,1450,,2
Alur,1,700,,1
Haralur Road,2,905,,1
Devarabisanahalli,3,1920,,3
Sarjapur  Road,4,2400,,1
Uttarahalli,2,1270,,2
Whitefield,3,1520,,3
Uttarahalli,3,1270,,1
Ramamurthy Nagar,3,1846,,2
Giri Nagar,2,1122.5,,0
Marathahalli,3,1655,,3
Electronics City Phase 1,2,1206,,3
Jakkur,2,1150,,2
Rachenahalli,2,1215,,1
Thanisandra,3,1510,,3
7th Phase JP Nagar,2,1022,,1
Marathahalli,2,1246,,2
NRI Layout,3,1470,,1
Hennur Road,2,1160,,2
Sidedahalli,2,970,,1
Hosa Road,3,1527,,1
Sarjapur,2,1100,,1
Dwarka Nagar,2,1045,,2
Rajaji Nagar,2,1100,,1
Yeshwanthpur,2,1301,,2
Mysore Road,3,1540,,2
Hoodi,3,1440,,2
Chikkabanavar,3,1294,,2
ITPL,2,1100,,1
Somasundara Palya,2,1405,,2
Hegde Nagar,3,1182,,1
Raja Rajeshwari Nagar,3,2400,,0
Haralur Road,4,2000,,2
Indira Nagar,3,1428,,1
Harlur,2,1220,,2
ITPL,2,1095,,2
Horamavu Banaswadi,2,1165,,1
Electronic City Phase II,2,1036,,2
Vidyaranyapura,4,2600,,3
Margondanahalli,3,1600,,2
Pattandur Agrahara,2,1560,,2
Thurahalli,3,1800,,2
Hallehalli,2,1100,,3
5th Phase JP Nagar,2,1050,,1
Whitefield,2,1180,,3
Kanakpura Road,2,1200,,3
Vadarpalya,4,2453,,2
Attibele,3,1645,,2
Chandapura,3,1645,,2
Kattigenahalli,5,4500,,1
Marathi Layout,3,1865,,3
Weavers Colony,2,1200,,0
Raghavendra Nagar,5,2400,,1
Sahakara Nagar,2,1200,,2
Kanakpura Road,2,900,,1
1st Phase JP Nagar,3,1900,,3
Horamavu Banaswadi,2,1200,,2
Rachenahalli,2,1200,,1
HSR Layout,1,581.91,,1
KR Layout,3,1680,,2
Vittasandra,3,1950,,3
Kanakapura,2,1055,,1
Haralur Road,2,1200,,1
Babusapalaya,3,1779,,2
Nagasandra,2,1300,,1
Hoodi,3,1945,,2
Kathriguppe,3,1777,,2
Akshaya Nagar,2,1135,,3
Nagappa Reddy Layout,2,1276,,2
Kempapura,3,1880,,2
BTM 1st Stage,2,1071,,1
Panathur,2,1165,,1
Kariyammana Agrahara,2,1636,,2
Hessarghatta,3,1779,,2
TC Palaya,2,1090,,2
Binnamangala,3,2082,,2
Suraksha Nagar,3,2024,,2
Whitefield,2,1097,,1
Brookefield,3,1419,,2
Lakshmi Layout,3,1580,,2
Rachenahalli,3,1559,,2
Iblur Village,3,1445,,2
TC Palaya,3,1475,,2
HSR Layout,3,3500,,2
7th Phase JP Nagar,2,1100,,2
Horamavu Agara,2,1306,,3
JP Nagar,3,1304,,0
Kasavanhalli,3,1411,,2
Hebbal,2,815,,1
Akshaya Nagar,3,1443,,2
Yelachenahalli,2,1200,,2
Yelahanka,2,1200,,2
Sarjapur  Road,2,1160,,2
Kadugondanahalli,3,1584,,1.584375738
2nd Stage Nagarbhavi,3,1615,,2
Seegehalli,2,1200,,2
Hebbal,2,1160,,2
Yeshwanthpur,2,1200,,2
Kanakapura,3,1615,,2
2nd Stage Nagarbhavi,3,1410,,3
TC Palaya,2,1200,,2
Vasanthapura,2,1160,,2
Basava Nagar,2,1260,,2
Whitefield,3,1600,,2
Haralur Road,3,1500,,3
Yeshwanthpur,2,1160,,2
Kanakpura Road,2,1240,,2
Yeshwanthpur,2,1200,,2
2nd Block Hrbr Layout,3,1500,,3
BTM 1st Stage,3,1410,,3
Old Madras Road,3,1583,,1
Kadugodi,2,1170,,2
Banashankari,2,1160,,2
Ananth Nagar,3,1410,,3
Sarjapur  Road,3,1565,,2
Canara Bank Layout,2,1160,,2
Naganathapura,3,1410,,3
Narasapura,2,1200,,2
Manjunath Nagar,2,1200,,2
Basapura,2,1160,,2
Channasandra,2,1334,,3
Devanahalli,3,1565,,2
Jigani,2,1200,,2
Singena Agrahara,2,1215,,2
Yelahanka,2,1160,,2
Sector 1 HSR Layout,2,1200,,2
Uttarahalli,2,1260,,1
Uttarahalli,2,1160,,2
Jalahalli,2,952,,1
Mango Garden Layout,2,1200,,2
7th Phase JP Nagar,2,1240,,2
Kacharakanahalli,3,1200,,0
Jalahalli East,2,1200,,2
Hennur Road,2,1100,,2
5th Phase JP Nagar,3,1565,,2
"Bidere Agarahara, Behind Safal market",2,1200,,2
Hoodi,2,1160,,2
Haralur Road,2,1215,,1
Thanisandra,2,1200,,2
Kengeri,2,1160,,2
Electronic City,3,1410,,3
Hoodi,2,1254,,1
Thanisandra,2,1050,,1
Kanakpura Road,2,1260,,2
Haralur Road,2,1275,,2
Marathahalli,3,1767,,1
Haralur Road,2,1205,,3
Kambipura,2,1250,,1
Konanakunte,2,1000,,2
Kanakpura Road,2,1281,,1
Electronic City,2,921,,2
Electronic City,3,1490,,2
Thanisandra,2,1220,,2
Grihalakshmi Layout,2,1299,,2
Gopalkrishna Nagar,2,900,,2
Hosakerehalli,2,1350,,1
Kammanahalli,2,1286,,2
Choodasandra,2,1457,,2
Mysore Road,2,1195,,2
Indira Nagar,2,1050,,2
Budigere,2,1310,,2
Sai Gardens,3,1785,,3
Mahadevpura,2,1051,,2
Haralur Road,2,1060,,1
Hennur,2,1100,,3
Rajaji Nagar,3,1685,,3
Dodda Kempaiah Layout,2,982,,2
Hanumanth Nagar,2,1205,,1
Whitefield,2,1063,,1
Kasturi Nagar,2,1201,,2
Thanisandra,2,1325,,2
Basaveshwara Nagar,2,1281,,2
R.T. Nagar,2,1200,,1
Kaikondrahalli,3,1785,,2
Vittasandra,2,1088,,2
Whitefield,2,1310,,2
Hosakerehalli,2,1465,,3
Hunasamaranahalli,3,1767,,2
Electronic City Phase II,4,3600,,1.584375738
RWF West Colony,2,1150,,1
Hebbal Kempapura,2,1410,,2
Bommasandra,2,1015,,1
Dasarahalli,3,1685,,3
Whitefield,3,1735,,3
Bileshivale,3,1685,,3
Kodigehaali,2,1049,,1
KR Puram,2,1211,,1
EPIP Zone,3,1717,,2
Marathahalli,2,1200,,1
Electronic City,2,960,,2
Neeladri Nagar,3,1690,,2
Panathur,1,950,,1
Marathahalli,2,850,,1
1st Block Jayanagar,2,1454,,1
Frazer Town,2,1195,,1
Kundalahalli,2,1260,,2
Yeshwanthpur,3,1535,,1.584375738
Kambipura,2,1047,,1
Kaggalipura,2,900,,1
Yelahanka,2,1220,,2
Kanakpura Road,2,1025,,0
Manayata Tech Park,2,1050,,1
Kullappa Colony,3,1200,,0
Akshaya Nagar,3,3200,,1.584375738
Rachenahalli,4,4460,,1.584375738
Haralur Road,3,2850,,3
Williams Town,2,1300,,1
Jaya Nagar East,2,1567,,0
Ambalipura,2,1688.12,,1
Yelahanka,3,1805,,2
Yelahanka,2,1688,,0
Sarjapur  Road,2,960,,1
Iggalur,1,560,,0
Sompura,4,4046,,0
Magadi Road,3,1200,,1
Harlur,1,540,,1
Horamavu Agara,2,1322,,2
Sarjapur  Road,2,1351,,2
Thanisandra,2,1384,,2
Bellandur,2,1351,,2
Cooke Town,2,1432,,2
Varthur,2,1349,,2
Electronic City,2,1328,,2
Whitefield,2,1300,,2
Banashankari,3,1670,,1
Doddakallasandra,2,1444,,1
Chokkanahalli,2,1447,,1
Hosur Road,3,1700,,2
Kaggalipura,2,1447,,1
Battarahalli,3,1760,,2
Uttarahalli,2,1447,,1
Thanisandra,3,1949,,2
Hebbal,3,1760,,2
Kanakpura Road,2,1447,,1
Yelenahalli,4,2439,,3
Sarjapur  Road,2,1444,,1
Kudlu Gate,2,1205,,2
Chikkaballapur,2,1447,,1
Chamrajpet,4,2439,,2
Uttarahalli,2,1205,,1
Raja Rajeshwari Nagar,2,1260,,1
VGP Layout,4,2439,,3
Classic Paradise Layout,3,1707,,2
Byappanahalli,2,970,,1
Kogilu,2,1277,,1
Sahakara Nagar,3,1703,,2
Whitefield,3,2150,,0
Thanisandra,2,1100,,2
Vasanth nagar,2,900,,1
Hennur Road,2,1280,,2
OMBR Layout,4,2400,,0
Kumaraswami Layout,2,1600,,2
Kasavanhalli,4,3600,,0
Ulsoor,3,1800,,0
7th Phase JP Nagar,4,4200,,2
Rayasandra,3,1450,,2
Garudachar Palya,3,1654,,3
Kalyan nagar,6,2400,,2
Whitefield,4,5400,,1.584375738
BEML Layout,6,2400,,2
Kalkere,2,1125,,2
Rajaji Nagar,2,1090,,3
ITPL,2,1112,,2
Bannerghatta Road,3,2400,,1
T.C. Palya,3,2968,,1.584375738
Siddapura,2,950,,1
Yelahanka New Town,2,1360,,3
Makali,2,1125,,1
7th Phase JP Nagar,2,950,,2
Uttarahalli,3,1805,,3
Electronic City,3,1755,,1
RWF West Colony,1,665,,0
Devanahalli,1,660,,1
Uttarahalli,1,660,,1
Akshaya Nagar,2,1365,,1
Kaggadasapura,3,1795,,2
Koramangala,3,1740,,1
Malleshwaram,3,1970,,2
Maragondanahalli,3,1516,,1
Ramamurthy Nagar,3,1180,,2
TC Palaya,3,1075,,1
Kudlu Gate,3,1075,,1
Lakshminarayana Pura,2,845,,1
Abbigere,3,1075,,1
Bannerghatta Road,2,845,,1
Raja Rajeshwari Nagar,2,845,,1
Whitefield,3,1075,,1
Sarjapur  Road,2,850,,1
Whitefield,3,1075,,1
Garudachar Palya,3,1075,,1
Sarjapur  Road,3,1180,,1
Vibuthipura,3,1075,,1
Whitefield,2,845,,1
Hosakerehalli,3,1075,,1
Tumkur Road,2,700,,1
Hennur,3,1075,,1
Chikka Tirupathi,3,1075,,1
Yelahanka,2,845,,1
Yelahanka,2,945,,1
Sarjapur  Road,2,845,,1
5th Block Hbr Layout,3,1075,,1
Jigani,3,1080,,1
Suraksha Nagar,3,1180,,1
Pai Layout,3,1075,,1
Amruthahalli,3,1075,,1
Jalahalli West,3,1075,,1
Defence Layout,3,1075,,1
Kannamangala,2,850,,1
Whitefield,3,1075,,1
Roopena Agrahara,2,845,,2
Kasturi Nagar,2,845,,0
Whitefield,8,3000,,0
Whitefield,1,520,,0
Kanakpura Road,1,515,,1
Electronics City Phase 1,2,1090,,2
Whitefield,3,1850,,2
Kanakpura Road,2,910,,1
Haralur Road,2,1050,,2
Iblur Village,2,1100,,2
Kengeri Satellite Town,4,2100,,2
Mysore Road,2,1307,,1
Haralur Road,2,1091,,1
Dooravani Nagar,2,1160,,3
Channasandra,2,1050,,2
Hosa Road,3,1260,,1
Kudlu Gate,3,1200,,2
Banashankari Stage V,2,1035,,1
Whitefield,2,1035,,1
Coconut Garden,2,1034,,3
Binny Pete,2,877,,2
Chamrajpet,2,920,,1
TC Palaya,2,1035,,1
Kalkere,3,1295,,1
Old Airport Road,2,1015,,1
Gollahalli,2,1000,,1
Sonnenahalli,2,955,,1
Begur,2,1005,,1
Kasavanhalli,2,1014,,1
Kambipura,2,1020,,1
KR Puram,2,920,,1
Hoodi,2,800,,1
Billekahalli,3,1280,,1
D Souza Layout,3,1942,,1.584375738
Old Airport Road,2,1127,,1
Sarjapur  Road,2,877,,1
Malleshwaram,3,1365,,1
Electronic City,2,842,,2
Balagere,3,1260,,1
Nagarbhavi,3,1365,,1
Whitefield,2,955,,1
Rachenahalli,2,1089,,1
Hebbal,3,1365,,1
Thanisandra,2,1090,,2
Kothannur,3,1400,,1
Electronic City,3,1320,,1
Bettahalsoor,2,1020,,1
Electronic City,2,1165,,1
Bommanahalli,2,1090,,1
Marathahalli,2,1000,,1
Haralur Road,2,1020,,1
Raja Rajeshwari Nagar,2,1160,,1
Jakkur,2,1125,,1
Rachenahalli,2,1125,,1
7th Phase JP Nagar,2,1130,,1
Whitefield,2,1065,,1
Whitefield,3,1200,,1
Whitefield,4,1632,,0
Thanisandra,4,1670,,0
"ECC Road, Whitefield, ",4,1680,,0
Ashwath Nagar,4,1632,,1
JP Nagar,3,3339,,0
Seetharampalya,3,1232,,1
Jigani,4,1632,,0
Kothanur,4,2200,,0
Electronic City,2,1100,,2
Rukmaiah Layout,3,1520,,2
Hennur Road,2,1280,,2
Bommanahalli,2,1275,,3
Yelahanka,3,1721,,2
Kathriguppe,3,1720,,1
KR Puram,2,1150,,3
Hosa Road,2,1142,,2
Panathur,4,2800,,2
Maruthi Sevanagar,3,1476,,2
Yelahanka,4,1700,,1
Devanahalli Int. Airport,2,1262,,1
Puttanahalli,2,1139,,2
Thubarahalli,2,1125,,2
Benson Town,3,1420,,2
Hoodi,2,941,,2
Jakkuru Layout,2,1100,,1
Vijayanagar,4,2400,,3
Palanahalli,2,1225,,2
Old Madras Road,5,1950,,3
 Thanisandra,2,1080,,3
Devasandra Extension,2,1230,,3
Nagondanahalli,2,1200,,2
Chikkalasandra,2,1089,,1
Chandapura,2,1130,,2
2nd Phase Judicial Layout,2,1270,,1
BEML Layout,3,1706,,2
Amruthahalli,2,1389,,2
Marathahalli,2,1225,,2
Kothannur,3,1746,,3
Koramangala,4,1560,,2
Hoodi,2,1382,,2
Lingadheeranahalli,2,1260,,1
Dommasandra,2,1206,,1.584375738
Sanjay nagar,3,1594,,2
Marathahalli,2,1153,,2
1st Block HRBR Layout,2,1162,,1
Kannamangala,3,1991,,2
Chandapura,2,1153,,2
Richmond Town,2,1162,,1
"Sarjapur Road, ",2,1139,,2
Electronics City Phase 1,2,1139,,2
Hebbal Kempapura,3,1991,,2
Raja Rajeshwari Nagar,1,664,,1
Bellandur,3,1820,,2
Kengeri Satellite Town,3,1636,,2
Bannerghatta Road,2,1444,,2
Sarjapur  Road,2,1139,,2
Sarjapur,3,1820,,2
Billekahalli,2,1162,,1
Bagalur Main Road,3,1636,,2
Haralur Road,2,1087,,1
Thanisandra,1,664,,1
Doddathoguru,2,1153,,2
Harlur,2,1139,,2
Byadarahalli,3,1636,,2
Poorna Pragna Layout,1,664,,1
Chamrajpet,2,1162,,1
Raja Rajeshwari Nagar,2,1153,,2
Yeshwanthpur,3,1820,,2
Judicial Layout,2,1172,,0
"Varthur Road, ",3,1820,,2
Kodihalli,3,1991,,2
Horamavu Agara,3,1820,,2
Nagasandra,2,1153,,2
Kanakpura Road,1,705,,0
Bannerghatta Road,2,1153,,2
Kanakpura Road,2,1153,,2
Banashankari Stage III,3,1636,,2
Chikka Banaswadi,2,1153,,2
Babusapalaya,2,1153,,2
Bannerghatta Road,2,1153,,2
NGR Layout,3,3155,,2
Babusapalaya,4,3500,,3
Outer Ring Road East,3,1413,,2
Devanahalli,3,1325,,1
Kavika Layout,1,540,,1
Vinayaka Nagar,4,2631,,1.584375738
Anekal,1,650,,1
Horamavu Agara,2,1300,,2
Banashankari Stage II,3,1455,,2
Whitefield,2,1140,,3
JP Nagar,2,1100,,2
Poorna Pragna Layout,2,1250,,2
Bhoganhalli,3,1600,,1
Yelahanka New Town,4,3811,,2
Yelahanka,2,1120,,2
Neeladri Nagar,2,1070,,1
Kogilu,2,740,,1
Dodda Kempaiah Layout,2,1028,,1
Horamavu Banaswadi,2,1392,,1
Hennur Busstop,2,1070,,2
KR Puram,3,1825,,2
GB Palya,2,1025,,2
AMS Layout,2,1198,,2
KR Puram,2,1560,,2
9th Block Jayanagar,3,1590,,3
Karuna Nagar,2,1100,,1
Kadugodi,2,1051,,3
Ashwathnagar,2,1020,,1
Hebbal Kempapura,2,1285,,2
Gaurava Nagar,2,1040,,1
HRBR Layout,2,1392,,1
Kodichikkanahalli,1,705,,1
Budigere,2,1125,,1
Sector 7 HSR Layout,3,1400,,2
Raja Rajeshwari Nagar,3,1400,,2
Hoodi,2,907,,2
Kanakpura Road,2,1310,,1
Singasandra,3,2400,,1
Yelahanka,4,1600,,1
Basapura,3,1950,,3
Hoodi,3,1756,,2
Thigalarapalya,3,1669,,2
Begur Road,3,2098,,1
Kasturi Nagar,2,1000,,2
Hebbal Kempapura,2,900,,3
Akshaya Nagar,3,1600,,1
Jakkur,3,1600,,3
Sarjapur  Road,3,1732.5,,0
Kammasandra,3,1770,,2
Whitefield,1,532,,1
Begur Road,3,1639,,3
Kengeri Satellite Town ( BDA SITE),3,1475,,2
Hebbal,4,1900,,1
Electronic City,2,1350,,3
Panathur,2,1050,,1
AGS Layout,4,1660.4,,2
Kengeri,1,505,,0
Srinagar,3,1565,,2
Rachenahalli,2,730,,2
Varthur,3,1650,,2
Vittasandra,7,2800,,1
HSR Layout,1,645,,1
Uttarahalli,1,645,,1
Binny Pete,2,1200,,2
Dasarahalli,2,1025,,2
Brigade Road,1,582.5,,0
Bannerghatta,3,1065,,1
Channasandra,2,850,,1
Hessarghatta,1,590,,0
Hebbal,1,645,,1
Belathur,1,520,,1
Maruthi HBCS Layout,2,1200,,1
Electronic City,1,645,,1
Uttarahalli,1,645,,1
Srirampura,2,700,,1
Malleshwaram,3,1095,,2
Yelahanka,3,1208.51,,2
9th Phase JP Nagar,2,876,,2
5th Phase JP Nagar,1,645,,1
Kalena Agrahara,3,1505,,2
Electronic City,1,645,,1
Devanahalli Road,2,937,,1
Ejipura,2,1025,,2
Horamavu Banaswadi,2,800,,1
Bhoganhalli,1,645,,1
Doddathoguru,2,778,,0
Kengeri,2,950,,1
Green Woods Layout,2,1200,,1
Uttarahalli,1,645,,1
Craig Park Layout,2,1025,,2
Whitefield,3,1345,,2
Immadihalli,1,520,,1
Banagiri Nagar,3,1323,,1
Ananth Nagar,1,410,,1
Hiremath Layout,1,645,,1
Attibele,1,645,,1
Dommasandra,2,1200,,1
Whitefield,2,740,,1
Whitefield,2,876,,2
Kalena Agrahara,1,520,,1
Malleshpalya,3,1260,,2
Whitefield,1,890,,1
Ramagondanahalli,3,1600,,2
Jalahalli,3,1260,,2
Jnanabharathi Layout,3,1200,,0
Kaggalipura,2,1009,,1
Muneshwara Nagar,2,1065,,1
Chandapura,3,1470,,1
Chandapura,2,1115,,1
Malleshpalya,2,1030,,1
Raja Rajeshwari Nagar,6,4200,,0
Electronic City,2,1115,,1
Thigalarapalya,3,1200,,1
Kundalahalli,2,1104,,1
Chikkasandra,2,1160,,1
Varthur,2,1050,,2
Mahadevpura,2,1065,,1
Sarjapur  Road,2,1070,,1
Kanakpura Road,2,1050,,1
Bharath Housing Society Layout,2,1093,,1
Chikka Tirupathi,2,808,,1
Hebbal,2,1010,,1
EPIP Zone,2,1123,,1
Konanakunte,2,1000,,2
Whitefield,4,1500,,1
3rd Block Jayanagar,3,1330,,2
Thigalarapalya,2,1093,,1
Sarjapur  Road,2,1115,,1
Vijayanagar,3,1500,,1
Rayasandra,2,830,,1
7th Phase JP Nagar,3,1200,,1
Kadugodi,3,1195,,1
Doddakallasandra,2,1175,,2
Sarjapur,2,1200,,1
HSR Layout,2,1065,,1
Malleshpalya,2,1050,,1
Horamavu Banaswadi,2,1010,,1
Padmanabhanagar,2,1210,,2
Hormavu,3,1535,,1
Hoodi,2,1115,,1
Raja Rajeshwari Nagar,5,3100,,1
Ulsoor,3,1563,,2
JP Nagar,2,1180,,2
HSR Layout,6,2400,,1.584375738
Manjunatha Layout,2,1250,,1
Kanakapura,2,1000,,1
Yelahanka,2,1115,,2
Konanakunte Cross,3,1465,,3
Uttarahalli,2,1100,,2
Hosur Road,2,1145,,2
Banjara Layout,2,1095,,2
Begur,2,1035,,2
Uttarahalli,3,1480,,1
Chikka Tirupathi,3,1705,,1
Rajaji Nagar,2,1260,,1
Parappana Agrahara,2,1080,,2
Kanakpura Road,2,1050,,2
Abbaiah Reddy Layout,2,1220,,2
Kanakpura Road,2,1093,,2
Singasandra,2,1250,,3
Kogilu,4,2600,,3
Yelachenahalli,4,2325,,1
Koramangala,3,1808,,2
Yelahanka,3,3297,,1
Lakshmi Layout,4,3500,,3
Tavarekere,3,2646,,1.584375738
Bisuvanahalli,4,2704,,0
Yelahanka,3,2325,,1.584375738
Immadihalli,4,2325,,1
Hoodi,4,3250,,2
Srinivasa Nagar,4,2665,,3
Jigani,2,950,,1
Thirumenahalli,3,1600,,0
Whitefield,5,2400,,0
Hebbal,5,2000,,0
Kengeri,2,1067,,1
KPC Layout,3,1320,,2
Yelahanka,8,4000,,0
JP Nagar,3,1398,,0
Sarjapur,3,1397,,1.584375738
Ardendale,2,1200,,2
HOSUR MAIN ROAD,3,1402,,2
Hebbal,3,1290,,2
Begur,2,1100,,2
Sarjapur  Road,2,1208,,1
Electronic City,2,1070,,2
Nandi Durga Road,2,1230,,2
Rajiv Nagar,2,1070,,1
Hosa Road,3,1270,,3
Cooke Town,2,1075,,1
Kumara Park,3,1230,,2
Daadys Gaarden Layout,3,1290,,2
Maruthi Nagar,2,1070,,1
Bommanahalli,2,1100,,2
Marathahalli,3,1390,,3
Munnekollal,2,1090,,1
Whitefield,2,1325,,1
Sahakara Nagar,3,1275,,2
Kudlu Gate,2,1113,,2
Sarjapur  Road,2,1045,,2
Hosa Road,3,2292,,1
Kothannur,2,1225,,2
Chikkabanavar,2,1020,,2
Ramamurthy Nagar,2,980,,1
Hennur Road,2,1266.67,,0
Marsur,3,2511,,3
Shampura,3,1370,,2
Gubbalala,1,750,,0
Kengeri,4,2000,,1
Kereguddadahalli,2,1300,,2
Nagarbhavi,2,1115,,2
Marathahalli,2,1300,,3
Kanakapura,3,1530,,2
Electronics City Phase 1,2,1197,,1
Balagere,3,1465,,3
Kasavanhalli,2,1115,,1
Gubbalala,2,1215,,2
AECS Layout,3,1254,,1
Frazer Town,3,1580,,3
Karuna Nagar,2,725,,2
Kodihalli,2,1075,,2
Kallumantapa,2,1180,,1
Ramamurthy Nagar,2,1140,,2
Kaverappa Layout,3,1560,,2
Electronic City Phase II,2,1065,,1
Mysore Road,2,1115,,2
Malimakanapura,2,1115,,1
Medahalli,4,2920,,3
Talaghattapura,3,1991,,2
Attibele,2,1007,,2
Hulimavu,2,1272,,2
Kattigenahalli,2,1156,,2
Rustam Bagh Layout,2,1007,,2
Electronics City Phase 1,3,3045,,2
New Thippasandra,3,1652.5,,2
Harlur,4,3950,,1.584375738
Horamavu Agara,3,2388,,3
Garden Layout,2,1710,,2
Raja Rajeshwari Nagar,2,1310,,2
Viswapriyanagar.begur Road.bommanahalli.,4,3900,,1.584375738
Konanakunte,3,2560,,1.584375738
Basavangudi,3,2600,,1
"Hoodi Circle, ",2,1100,,3
Rachenahalli,3,2300,,1
Judicial Layout,3,1975,,3
Yelahanka,3,1650,,3
Sarjapur  Road,3,1730,,3
Electronic City Phase II,3,1600,,1
Ananth Nagar,2,1250,,2
Hennur Road,2,1280,,1
Binny Pete,2,1073,,2
Yelahanka,2,1000,,3
Bannerghatta Road,2,1200,,2
Bisuvanahalli,2,1250,,2
2nd Stage Nagarbhavi,4,5270,,3
T K Reddy Layout,3,3875,,2
Herohalli,3,3875,,2
Kumbena Agrahara,3,3815,,1
Whitefield,3,2880,,2
Whitefield,3,3489,,1
"Pai layout , Mahadevapura",3,4170,,2
Whitefield,3,2700,,1
7th Phase JP Nagar,3,2880,,2
Whitefield,3,1600,,3
Kanakpura Road,3,1855,,1
frazertown,3,1980,,2
Akshayanagara East,2,1541,,1
Bannerghatta,3,2735,,2
Old Madras Road,2,708,,2
Kereguddadahalli,2,708,,1
Kadugodi,2,965,,1
Whitefield,2,814,,1
Hebbal Kempapura,2,1163,,1
Yelahanka,3,1286,,1
Hebbal,2,708,,1
Kaikondrahalli,1,708,,1
Doddanekundi,2,814,,1
Venkatadri Layout,2,1295,,1
Bommenahalli,3,1520,,1
JP Nagar,2,1300,,3
Mahaganapathy Nagar,2,1150,,0
Huskur,3,2100,,3
Ramagondanahalli,2,1220,,2
Sarjapur  Road,2,1375,,1
9th Phase JP Nagar,2,1333,,1
Belathur,2,1220,,2
Kattigenahalli,2,1160,,2
Ulsoor,2,1150,,2
Kathriguppe,4,6600,,1.584375738
Rustam Bagh Layout,2,1150,,2
Panathur,4,2800,,3
Chandapura,2,1270,,1.584375738
Marathahalli,6,8000,,3
Gunjur,2,1100,,2
Electronics City Phase 1,2,1260,,2
Whitefield,3,1282,,2
Andrahalli,2,1360,,1
Singena Agrahara,2,1408,,2
HBR Layout,2,1010,,1
