location,bhk,total_sqft,bath,price
Victoria Layout,3,2400,2,64.44
Prithvi Layout,3,2028,2,64.4
Mysore Road,2,980,2,53.56
Sarjapur  Road,2,1000,2,62
Sarjapur  Road,2,1050,2,44
Bannerghatta,2,2611,2,42
Domlur,2,1875,2,47
Hennur Road,3,1065,2,46.8
Sanjay nagar,3,1800,3,56
Sector 7 HSR Layout,3,1163,2,60
Tumkur Road,3,1098,3,75
5th Phase JP Nagar,2,1725,2,45
Whitefield,2,4000,2,55
Thubarahalli,2,1128,2,28
Subramanyanagar,2,1320,2,60
Yelahanka,3,1705,3,121
Thigalarapalya,2,1418,2,50
Ramamurthy Nagar,3,1500,3,132
Hebbal,2,1100,2,48
KUDLU MAIN ROAD,3,1464,3,135
Hebbal,2,812,2,41.15
Binny Pete,3,2695 - 2940,2,71
Doddanekundi,2,1280,2,46
Whitefield,2,1420,2,45
1 Ramamurthy Nagar,2,1200,2,56
Kadugondanahalli,2,727,2,46.5
Banashankari Stage II,3,1200,3,125
Old Airport Road,2,2774,2,41.16
5th Stage BEML Layout,2,2000,2,46.75
HBR Layout,2,1722,2,50
Indira Nagar,2,2800,2,58
IVC Road,2,2000 - 5634,2,41.18
Jaya Mahal layout,2,1650,2,60
BSM Extension,2,840,2,71
Jigani,3,914,2,79
Hennur Road,2,1482,2,45
Kundalahalli,2,1724,2,52
Vijinapura,2,1670,2,60
Banaswadi,2,1184,2,73
Kodigehaali,2,1200,2,69
TC Palaya,3,1200,3,115
Jigani,3,927,2,87
P&T Layout,4,1242,4,325
Electronic City Phase II,3,1220,3,300
Electronic City,3,1360,4,195
Brookefield,3,2800,3,142
7th Phase JP Nagar,4,1180,3,200
Whitefield,1,1697,1,49
Yelahanka New Town,4,550,5,270
Hennur,2,1225,2,37
Byrasandra,2,1690,2,30
SBM Colony,3,1660,3,45.33
Veerannapalya,3,1488,3,74
Chowdeshwari Layout,3,1250,2,70
JP Nagar,8,1050,5,145
HSR Layout,2,1027,2,32
Kanakpura Road,2,1699,2,39
Whitefield,1,1205,1,27
Mathikere Extension,2,712,2,40.39
Horamavu Agara,2,950,2,40.39
TC Palaya,2,1200,2,42.87
Akshaya Nagar,2,1476,2,40.4
CV Raman Nagar,2,1070,2,41
EPIP Zone,2,2160,2,42.87
Sector 2 HSR Layout,3,1296,2,60
Chikkalasandra,2,1800,2,56
Kanakpura Road,3,1570,2,62
Koramangala,3,1300,2,48.5
Sarjapur,2,1550,2,55
Electronic City,3,770,3,70
Jalahalli,2,1870,2,48
Anantapura,2,1650,1,65.01
Domlur,3,1429,3,95
Babusapalaya,2,1167,2,49
Bommasandra,3,1035,3,176
Kengeri,2,1188,2,40
2nd Stage Nagarbhavi,3,1200,4,154
Sarjapur,2,1574Sq. Yards,2,59
Nagarbhavi,2,884,2,48.4
Haralur Road,2,1194,2,33
Hoodi,2,1026,2,32
Shivaji Nagar,2,1400,2,25
Kaikondrahalli,2,1115,2,42
Hebbal Kempapura,3,1200,3,65
Old Airport Road,1,2690,1,17
Subramanyapura,2,975,2,33.5
Hosa Road,2,675,2,39
Chamrajpet,2,1900,2,32
Banashankari,1,600,1,25.5
OMBR Layout,3,1101,3,62
Sarjapur  Road,2,1700,2,32
Whitefield,2,3606,2,50
Padmanabhanagar,2,1258,2,30
Kanakpura Road,3,1560,3,45
Old Madras Road,2,3630,2,50
JP Nagar,2,2000,2,32.9
Hebbal,3,2790,3,65
Badavala Nagar,2,1494,2,44
Hennur Road,2,1482,2,40
Rustam Bagh Layout,3,800,3,85
Raja Rajeshwari Nagar,1,1185,1,17
Hulimavu,4,1100,4,2100
NRI Layout,2,1300,2,80
4th Block Koramangala,3,1225,3,99
Hulimavu,3,1758,3,99
Banaswadi,3,1145,3,115
Hormavu,2,1180,2,85
Belatur,6,1260,4,1824
Yelahanka,4,3450 - 3472,4,350
Arekere,4,1190,5,385
Sarjapur  Road,2,1691,2,65
Lalbagh Road,3,3675,3,75
Frazer Town,3,1305,3,2000
Basavangudi,4,2337,3,280
Kamakya Layout,3,1200,3,200
Domlur,3,1206,3,88
Vignana Nagar,3,1350,3,220
Kogilu,3,1140,3,90
Nallurhalli,3,1250,2,150
Kamakshipalya,3,600,3,86
Chinnapanahalli,1,1225,1,55
Kereguddadahalli,2,800,2,85
Jalahalli East,3,1020,3,150
TC Palaya,3,2100,3,135
Lingarajapuram,3,1350,3,165
Anekal,3,925,3,285
Yelachenahalli,1,1800,1,70
3rd Block HBR Layout,1,2000,1,70
Frazer Town,3,1510,3,285
Kasavanhalli,3,5800,3,120
Laxmi Sagar Layout,3,1614,3,125
Yeshwanthpur,2,682,2,95
Gottigere,3,1200,3,145
TC Palaya,2,900,2,80
Bommenahalli,3,1632,3,180
OMBR Layout,3,1041,3,235
7th Phase JP Nagar,3,5080,3,180
Bannerghatta,2,3012,2,160
Marathahalli,2,1530,2,22.14
Sector 2 HSR Layout,2,1450,2,43.5
Bannerghatta Road,2,1200,2,43.5
Sahakara Nagar,2,1200,2,25.4
Hosur Road,2,1508,2,32.9
New Gurappana Palya,3,600,2,100
Dodda Nekkundi Extension,3,1188,3,199
Old Airport Road,3,2690,3,150
Harlur,3,1174,3,105
Old Madras Road,3,1350,3,95
Frazer Town,3,1870,3,115
Kengeri Satellite Town,3,1072,2,65
Nelamangala,2,52272,2,54
Kengeri,2,726,2,67
Hosur Road,2,1345,2,82
Begur Road,3,1200,3,162
Nagavarapalya,2,980,2,92.5
Hormavu,2,1050,2,86.98
Uttarahalli,2,993,2,93.36
7th Phase JP Nagar,3,1300,3,102
Vittasandra,2,1743,2,69
Whitefield,2,1204,2,65
Hormavu,3,1200,3,125
2nd Block Hrbr Layout,2,1480,2,86
Sarjapur,3,950,4,163
Domlur,3,640,3,130
Electronic City Phase II,3,972,3,165
Marathahalli,3,1840,3,177
Electronic City,3,1128,3,110
Hongasandra,2,680,2,70
Harappanahalli,3,2400,3,135
Basapura,3,1045,3,95
Roopena Agrahara,2,955,2,75
Doddakallasandra,3,1360,2,64.5
BTM Layout,2,1150,2,60
Hennur Road,2,3450,2,64.5
Chennammana Kere,2,1115,1,36
Jigani,2,920,2,52
Bommasandra Industrial Area,2,1030,2,46
Thanisandra,1,1564,1,27
Uttarahalli,2,1045,2,40
Hegde Nagar,2,1200,2,63
Subramanyapura,2,1277,2,65
Kanaka Nagar,3,2479.13,3,95
Sarjapur  Road,1,1846,1,34.65
Tasker Town,2,1100,2,63
Govindpura,3,1690,3,99
Hormavu,2,1200,2,55
Yelahanka,2,3042,2,41
Rajaji Nagar,2,1640,2,68.75
NR Colony,2,1068,2,73.3
Kanakpura Road,3,1135,2,71
Agara Village,2,1925,2,56.93
Begur Road,3,1615,2,102
Shettigere,2,650,2,65.49
Chikkasandra,2,1200,2,56.1
Kaggadasapura,4,1150,4,120
Kothannur,2,930,2,45
Kenchanehalli R R Nagar,2,1410,2,65.65
6th Phase JP Nagar,2,600,2,42
Kumara Park,2,2000,2,42
Tumkur Road,3,1354,2,75
BEL Road,2,1050,1,40
Arekere,2,600,2,64
Varthur,2,1320,2,54
Koramangala,3,1600,3,89
Kanakpura Road,3,3500,3,50
GM Palaya,2,1000,2,39.5
Byagadadhenahalli,3,1130,2,72
Vittasandra,2,1238,2,65.35
Ashwathnagar,2,2204,2,65
KR Puram,2,1200,1,34
Kudlu Gate,3,1364,3,91.84
Srinivasa Nagar,2,900,2,54.5
Gubbalala,2,1745,2,46
Kogilu,3,1200,3,58
Kanakapura,3,1020,3,75
Banashankari Stage III,2,1650,2,68
Doddabommasandra,1,1550,1,35
5th Phase JP Nagar,3,1440,2,70.5
Sarjapura - Attibele Road,3,1329,3,105
Maruthi Layout,3,916,3,104
Hulimavu,3,688,2,100
Sree Narayana Nagar,2,1358,2,65
Kanakpura Road,2,1331,2,60
Malleshwaram,2,686,2,65.5
Hoodi,2,1050,2,59
Talaghattapura,2,2106,2,65.75
Bhoganhalli,2,1718,2,55
Raja Rajeshwari Nagar,2,1530,2,58
5th Block Hbr Layout,2,1206,2,54.1
Hebbal,3,1075,2,78
Sarjapur  Road,2,1200,2,59.32
Tunganagara,3,1936,3,90
Nagavara,3,2172.65,3,100
Sahakara Nagar,2,1100,2,58
BTM 2nd Stage,3,1260,3,101
Hongasandra,1,990,1,12
Jalahalli East,2,800,2,40
Sarjapur  Road,3,1117,2,78.25
Remco Bhel Layout,2,1685,2,79
CV Raman Nagar,2,740,2,67.15
Chamrajpet,2,1080,2,65.7
Magadi Road,2,1500,2,51
Banashankari,3,1800,3,100
Yelachenahalli,2,1700,2,49
Uttarahalli,3,850,3,90
Hennur Road,2,1891,2,58
Jalahalli,2,1400,2,54
Lakshminarayana Pura,3,1172,2,75
Electronic City Phase II,2,1400,2,52
Sonnenahalli,4,896,4,119
Vijayanagar,2,1180,2,60
Basaveshwara Nagar,3,2460,2,78
Chokkasandra,2,850,2,47
Anekal,2,530,2,65
2nd Block Hrbr Layout,2,1550,2,70.93
Kanakapura,4,1699,4,104
Bellandur,2,2025,2,53.9
Ananth Nagar,2,500,2,54
Panduranga Nagar,1,500,1,21
Sri Venkateshpura Layout,3,1146,2,77.5
Malleshwaram,3,2475,3,80
Haralur Road,2,1455,2,67
Seegehalli,1,800,1,22
Abbigere,2,765,2,50
Lingadheeranahalli,2,1521,1,39.9
Gottigere,2,1600,2,64
Byadarahalli,1,3155,1,13.31
Hebbal Kempapura,1,2900,1,13.5
Jakkur Plantation,2,1765,2,53
Kasavanhalli,3,1980,3,83
Amruthahalli,3,1900,3,66
Kaverappa Layout,3,1265,3,110
Bommasandra,2,1034,2,65.58
Kaverappa Layout,1,1012,1,28
Electronic City,2,1070,2,65.4
Mahadevpura,2,3555,2,72.9
5th Block Hbr Layout,3,1270,3,115
Yeshwanthpur,2,585,1,35
Doddanekundi,2,2045,2,40
Bellandur,2,1490,2,63
Banaswadi,1,6150,1,40.5
Mysore Road,1,883,1,22
Yeshwanthpur,2,671,2,48
Kammasandra,3,1156,2,70
Haralur Road,1,2017,1,28
Thigalarapalya,2,3122,2,65.45
Ramagondanahalli,2,1635,2,40
Sir M V Nagar,1,4400,1,33.7
Kanakpura Road,3,1296,3,90
Bikasipura,2,2400,2,85.5
Budigere,2,1139,2,85
CV Raman Nagar,2,1230,2,50
Basaveshwara Nagar Yelahanka,2,581.91,2,55
Binny Pete,2,1245,2,72
Sidedahalli,3,1158,3,70
Marathahalli,2,3951,1,38
Electronic City,3,550,3,92.59
Ramamurthy Nagar,2,360,2,62
Electronics City Phase 1,1,1350,1,12
Green Glen Layout,2,1670,2,64.8
Akshaya Nagar,2,1600,2,55
Horamavu Banaswadi,1,1307,1,40.42
7th Phase JP Nagar,3,1050,3,63.43
Hennur Road,3,1703,3,75
Kaggalipura,1,1210,2,31.48
Electronic City,2,1025,2,55
Haralur Road,2,1140,2,75
7th Phase JP Nagar,2,1343,2,67
R.T. Nagar,2,1560,2,57
Kalkere,3,925,3,90
Kanakpura Road,1,1420,1,35
1st Block Koramangala,2,1415,2,55
Shree Ananth Nagar Layout,2,1210,2,60
Yeshwanthpur,3,1852,3,97
Hoskote,2,1250,2,68
9th Phase JP Nagar,3,1100,3,73
2nd Phase Judicial Layout,2,1150,2,48
Jakkur,2,1100,2,90
Magadi Road,2,1350,2,63.5
Panathur,1,1546,1,29
Ambedkar Nagar,3,1424,3,94.5
Bellandur,2,1398,2,48
Indira Nagar,2,1650,2,54
HBR Layout,3,1200,2,70
Brookefield,3,1476,2,64.5
Attiguppe,4,500,4,134
Magadi Road,2,1322,2,73
Srirampuram,3,432,2,64.99
Yemlur,2,1100,2,52
Race Course Road,2,4750,2,39.07
Sarjapur,2,1285,2,30.6
Ambalipura,2,1150,2,45
Thanisandra,1,1430,1,28.35
Marathahalli,2,1350,2,25
Gkvk Layout,2,1350,2,28.34
Thubarahalli,4,1185,4,98.88
Bannerghatta Road,2,1760,2,38
Bank Of Baroda Colony,2,2400,2,59
Kanakpura Road,2,900,2,28.88
Kanakpura Road,2,1297,2,44
Sector 1 HSR Layout,2,1840,2,55
Ramamurthy Nagar,2,950,2,40.6
Chikkabanavar,2,1200,2,56.35
BTM 2nd Stage,3,950,2,62.78
Yeshwanthpur,2,1250 - 1305,2,33.5
Electronic City,2,1571,2,30.75
Electronic City Phase II,2,1031,2,61.25
Whitefield,2,1485,2,28.88
Ananth Nagar,3,1109,3,100
Koramangala,2,2200,2,40
Whitefield,2,950,2,32.5
Laggere,3,1200,3,52.47
Hosa Road,2,1161,2,45
Basavangudi,2,2350,2,33.06
Electronic City Phase II,2,1003,2,32.67
Bank Of Baroda Colony,2,1350,2,55
9th Phase JP Nagar,2,1080,2,65.8
Hulimavu,2,1255,2,33.5
Banaswadi,4,1250,4,260
Brookefield,2,1700,2,37
Ramamurthy Nagar,2,1200,2,29.25
St. John's Road,2,824,2,28.88
1st Phase JP Nagar,2,1875,2,28.88
Bommasandra Industrial Area,2,1320,2,28.88
Kothanur,2,9600,2,30.29
Uttarahalli,2,1330,2,53
Kaikondrahalli,2,1220,2,30.88
Electronic City,3,1111,3,80
Kothannur,2,1197,2,56.13
Marathahalli,2,2519,2,26
Doopanahalli,2,1340,2,33.84
Old Madras Road,2,1450,2,61.26
Hoodi,3,1837,2,65
Haralur Road,2,1200,2,32.49
Kudlu Gate,2,1238,2,69
7th Phase JP Nagar,2,1405,2,32.92
Doddaballapur,2,1690,2,40
Sathanur,3,1620,3,46
Kanakpura Road,3,1673,2,47
Margondanahalli,2,1090,2,32
Varthur,4,1112,3,97
Marathahalli,2,1385,2,27.43
Electronic City Phase II,2,545,2,26.65
Subramanyapura,2,985,2,29.45
Kanakpura Road,2,670 - 980,2,28.88
Kanakpura Road,2,1080,2,28.5
Hosa Road,2,1430,2,32.49
Kengeri Satellite Town,2,1050,2,34.65
Kumaraswami Layout,2,2000,2,52.2
Banashankari Stage VI,2,4800,2,55
ITI Layout,2,1533,2,33.51
Ramamohanapuram,2,2800,2,40
Malleshwaram,2,2610,2,33.51
Lakshminarayana Pura,2,1750,2,31.48
TC Palaya,2,1200,2,32.92
Prithvi Layout,1,1352,1,35
Harlur,2,1754,2,57
Tejaswini Nagar,3,1560,3,92
Bannerghatta,2,3012,2,28
Whitefield,2,3584,2,33.5
Channasandra,2,1470,2,29.6
9th Phase JP Nagar,2,1035,2,22.8
Whitefield,4,2400,4,105
Kammanahalli,2,1160,2,67
Jakkur,2,1100,2,32.63
Horamavu Agara,2,1170,2,34
Bannerghatta Road,3,595,2,65
HSR Layout,2,1650,2,46
1st Block Jayanagar,3,1875,3,65
Kamakshipalya,2,800,2,33.64
kanakapura road,3,1375,2,50.35
Ramagondanahalli,1,1235,1,16.75
Kaveri Nagar,2,750,2,30.76
7th Phase JP Nagar,2,1400,2,30.75
Poorna Pragna Layout,2,1270,2,33.06
Bannerghatta Road,2,1105,2,26.5
Sundar Ram Shetty Nagar,2,1375,2,34.65
Attibele,2,2168,2,54.48
Gottigere,2,1200,2,33
Yelahanka,3,1065,3,78.29
Sector 6 HSR Layout,3,3800,3,78.8
Raja Rajeshwari Nagar,2,3125,2,53
Whitefield,3,825,3,84
Nelamangala,2,1095,2,56
Ganga Nagar,3,720,2,80.91
Udayapur Village,2,1440,2,46
Electronic City,3,870,2,82
Panathur,2,1195,2,75
"Kirloskar layout, Basaveshwarnagar",3,1200,2,55
Raja Rajeshwari Nagar,2,1530,2,57
Padmanabhanagar,1,1708,1,42.41
Alfa Garden Layout,1,975,1,27
KR Puram,2,750,2,49
Gowdanapalya,2,1200,2,67
Iblur Village,2,1920,2,55
Nagarbhavi,3,1200,3,71
Thanisandra,2,1183,2,49.8
Kothanur,1,1140,1,26
Mico Layout,2,1550,2,68
Kaggadasapura,3,1110,3,72.54
NS Palya,1,1500,1,16.9
Kaggadasapura,1,1105,1,32
Anekal,2,1800,2,64.98
2nd Phase JP Nagar,1,2800,1,21
Bommanahalli,2,1000,2,59.76
Prithvi Layout,2,1190,2,54
2nd Stage Nagarbhavi,2,1350,2,65
Hebbal,3,3067,2,82
Sarjapur  Road,2,1929,2,40
Ramamurthy Nagar,3,1525,3,93
Nehru Nagar,2,1775,2,60
Banashankari,2,1125,2,62
Hessarghatta,3,900,3,79
Sarjapur  Road,2,1155,2,48
Hulimavu,2,1200,2,44
Sonnenahalli,2,1268,2,67
Hoodi Layout,2,1500,2,51
Electronic City,2,630,2,60
Seegehalli,2,1525,2,67
Kaggadasapura,1,1060,1,30.12
Lingadheeranahalli,2,1687,2,60
Thanisandra,2,1847,2,66
Begur Road,2,1410,2,69
7th Phase JP Nagar,4,1075,4,125
Rajaji Nagar,3,3526,3,180
BTM Layout,3,3000,3,95.45
Basavangudi,3,1500,3,185
Gaundanapalya,3,1010,3,150
Haralur Road,3,1875,3,200
Arasanakunte,3,1200,4,330
Kanakpura Road,3,983,4,285
Kasturi Nagar,2,1101,2,140
Laxmi Sagar Layout,3,1140,4,145
Sarjapur  Road,3,1215,3,265
Kengeri Satellite Town,3,1007,3,260
Bellandur,3,2039,3,288
Ulsoor,4,1020,5,341
Outer Ring Road East,2,1198,2,140
5th block Koramangala,3,4000,3,154
Nelamangala,3,1470,3,220
JakkurYelahanka,4,1370,2,341
Yemlur,4,1316,5,345
Kaggadasapura,3,1350,3,400
Gunjur Palya,3,1050,3,400
KR Puram,2,1005.03 - 1252.49,2,105
Electronic City,4,921,4,325
Kundalahalli,3,1010,3,180
KR Puram,1,1015,1,100
TC Palaya,2,1200,2,120
Lakshminarayana Pura,3,1179,2,75
Anjanapura,3,1850,2,68
Kammasandra,3,870,2,86
Bellandur,2,1605,2,47
Banashankari Stage VI,2,2800,2,48.95
Malleshwaram,3,2475,2,65
Ngef Layout,3,3000,3,65
Bileshivale,3,2400,3,64
2nd Phase JP Nagar,3,1000,3,70
Ramamurthy Nagar,3,1200,2,70
Manjunatha Layout,3,1200,2,300
Kammasandra,1,1200,1,38
Kashi Nagar,2,1200,2,55
Hennur,2,1255,2,68
Hosur Road,2,1085,2,65
Kanakpura Road,2,1592,2,65
B Narayanapura,2,1313,2,75
Kogilu,3,1934,2,60.8
Harlur,2,1200,2,48.7
Uttarahalli,2,3600,2,52.75
Old Madras Road,3,935,2,59.5
Bommasandra,3,877,2,60.6
Ashwathnagar,3,936,2,59.5
Nagasandra,2,1470,2,52.8
Upkar Layout,2,1050,2,52.8
Hennur Road,2,1232,2,48.5
Ambedkar Nagar,2,2225,2,52.5
Sunkadakatte,3,1200,2,60.8
Dasarahalli,2,1901,2,48.66
Sarjapur  Road,2,1819,2,52
HOSUR MAIN ROAD,2,1464,2,51.8
Banashankari,3,2400,2,95
Old Madras Road,2,3630 - 3800,2,32.5
9th Phase JP Nagar,2,5000,2,34.5
Someshwara Layout,4,1200,4,400
Kacharakanahalli,3,1256,3,252
7th Phase JP Nagar,3,1100,3,240
TC Palaya,4,4800,4,400
Kothanur,6,1435,4,375
6th Phase JP Nagar,6,3245,6,400
Sarjapur  Road,4,1845,3,750
Jigani,3,2400,3,195
HSR Layout,3,1140,4,180
Ulsoor,3,1200,3,60
Talaghattapura,3,2254,3,65
Frazer Town,6,1750,6,170
Jalahalli West,3,1020,2,90
Bommanahalli,2,515,2,63.59
Lingadheeranahalli,3,1893,2,47
Vasanth nagar,2,3025,2,48
Suddaguntepalya,2,830,2,45.51
Singasandra,2,600,2,39
Bisuvanahalli,2,1075,2,62
Kathreguppe,2,3200,2,34.5
Kasavanhalli,3,1200,3,62
Sarjapur  Road,2,1233,2,34.5
Bannerghatta Road,3,1255,3,54
Begur Road,2,1200,2,36.5
Varthur,3,2145,3,60
1st Phase JP Nagar,3,1500,3,60
Kothannur,4,740,3,86
Kengeri,3,1250,3,56
Channasandra Layout,2,1210,2,50
Sarjapur  Road,3,1525,3,275
Kogilu,4,540,5,351
Tumkur Road,3,1240,3,261
Subramanyapura,3,1245,3,298
HAL 3rd Stage,2,1865,2,75
Hosa Road,2,1004 - 1204,2,75
Bisuvanahalli,3,1075,2,97
Nagavara,2,2200,2,65
Whitefield,3,1155,2,95
Doctors Layout,2,1520,2,64
Thigalarapalya,2,3122,2,40
Harlur,2,1290,2,45
1st Block HRBR Layout,3,2300,3,82.5
Kannamangala,2,3000,2,63
Whitefield,3,361.33Sq. Yards,3,65
Austin Town,2,400,2,38
Banashankari,2,1340,2,48.5
Malleshwaram,1,900,1,26
Rajaji Nagar,3,1800,2,65
Hennur Road,3,987,3,70
Old Madras Road,3,1720,3,72
Hebbal,1,1040,1,26
Anandapura,2,900,2,40
Raja Rajeshwari Nagar,2,1030,2,63
Neeladri Nagar,3,2556,3,64
Basavangudi,2,1850,2,35
Kaval Byrasandra,2,750,2,35
Balagere,2,1028,2,45
7th Phase JP Nagar,3,1270,2,62
Sahakara Nagar,2,1655,2,45
Electronics City Phase 1,4,940,3,120
Domlur,3,1050,2,52
Rajagopala Nagar,2,600,2,50
Vishwapriya Nagar,3,946,3,63
CV Raman Nagar,2,1726,2,40
Sarakki Nagar,2,2121,2,61
Vittasandra,2,1404,2,56.58
Sarjapur,2,1525,2,40
Kengeri,4,1025,3,132
Bahubali Nagar,3,1575,3,72
RMV 2nd Stage,2,860,2,36.25
Talaghattapura,2,1223,2,59
Lottegolla Halli,2,3750,2,50
Kothannur,2,1197,2,88
Garudachar Palya,5,1150,5,370
Kodbisanhalli,2,4800,2,62.17
R.T. Nagar,3,1040,3,73.9
Banashankari,3,1310,3,77.89
Uttarahalli,3,1788,3,170
Raja Rajeshwari Nagar,2,1144,2,45
Anjanapura,3,1070,3,120
Nandini Layout,4,1200,4,230
Ambedkar Nagar,3,1862,3,105
Margondanahalli,4,1200,4,230
Begur Road,2,970,2,56.8
Kasavanhalli,2,1646,2,60
Sarjapur  Road,3,4395,3,115
Vibhutipura Extension,3,1200,2,115
Iblur Village,3,1995,3,130
1st Block Jayanagar,3,2400,3,105
Hosakerehalli,3,1085,3,105
Budigere,3,1139,4,95
Haralur Road,3,1092,3,125
Pattandur Agrahara,3,1767,3,110
HMT Layout,3,1700,3,100
Bellandur,4,1692,4,218
6th Phase JP Nagar,3,1645,3,120
Uttarahalli,3,1345,3,115
Basapura,3,1100,3,105
Gollarapalya Hosahalli,3,1408,3,135
Banashankari Stage III,3,2400,3,120
Kadugodi,3,1920,2,105
Bileshivale,3,6040,3,115
Thigalarapalya,3,2072,3,105
Malleshwaram,3,1420,3,105
Electronics City Phase 1,3,2040,3,125
Sarjapur  Road,2,1220,2,75
8th Phase JP Nagar,3,1200,3,112
B Channasandra,2,1300,2,43
Electronics City Phase 1,2,1150,2,36
KR Puram,2,1470,2,40
Hosa Road,2,1063,2,48
Harappanahalli,2,1311,2,42
Dollars Colony,2,3500,2,41
Nagarbhavi,2,600,2,66
Arehalli,3,1400,2,82
Kanakpura Road,3,2200,3,104
Thanisandra,3,1430,3,115
Vidyaranyapura,3,1060,3,110
Cambridge  road,3,1000,3,71
Sector 7 HSR Layout,5,1760,4,141
Whitefield,2,2010,2,70
Kanakpura Road,3,1480,2,80
8th Phase JP Nagar,2,1230,2,80
Gottigere,2,1300,2,49.5
Vajarahalli,2,800,2,46
Frazer Town,3,4850,3,125
Singasandra,2,1100,2,35
Harlur,2,1752.12,2,43
Marathahalli,3,957,2,66
Balagere,3,645 - 936,3,75
Hennur Gardens,4,1942,3,95
Ashirvad Colony,2,1000,2,49.11
Yeshwanthpur,2,668,2,44
Cholanayakanahalli,2,3000,2,40
Nagarbhavi,2,600,2,60
Uttarahalli,2,1089,2,41
Thanisandra,2,1800,2,43.48
Yelahanka New Town,3,960,3,62.63
Yelahanka,2,1036,2,51
Marathahalli,2,1583,2,40
7th Phase JP Nagar,2,3300,2,52.76
Padmanabhanagar,3,1100,3,62.63
Thyagaraja Nagar,3,800,3,62.63
Vittasandra,3,1246,2,90
Dodda Nekkundi,2,850,2,44.5
Raja Rajeshwari Nagar,2,1196,2,60
Thanisandra,2,1697,2,43
TC Palaya,3,1000,3,45
HRBR Layout,2,1567,2,42
Anekal,2,1200,2,52.76
Sarjapur  Road,3,3750,2,300
Veerannapalya,3,950,3,252
Howthinarayanappa Garden,3,1022,3,500
Kammasandra,5,1018,4,500
Basavanagara,3,2000,3,350
Bharathi Nagar,2,1322,2,49
Marsur,3,1800,2,200
Doddakallasandra,3,1460,3,95
SRINIVASAPURA,2,990,2,60
Cambridge Layout,2,2400,2,49
Whitefield,3,1635,3,125
Rajaji Nagar,3,3526,3,90
Padmanabhanagar,2,3400,2,60
Ramakrishnappa Layout,3,2770,3,110
EPIP Zone,2,2710 - 3360,2,65
Maragondanahalli,2,1533,2,120
Akshaya Nagar,3,1720,3,160
Frazer Town,2,2000,2,58
Yeshwanthpur,3,1185,3,80
Varthur Road,4,900,4,425
Attibele,3,395,3,56
Electronic City Phase II,3,1031,3,56
3rd Block Banashankari,2,2400,2,56
Thanisandra,2,2650,2,56
Basaveshwara Nagar,3,2400,3,56
Uttarahalli,3,1330,3,56
Hennur,2,1259,2,95
Raja Rajeshwari Nagar,2,1570,2,98
Bisuvanahalli,3,1075,3,250
Whitefield,2,1216,2,75
Sarjapur  Road,2,1428,2,78
Begur Road,2,1160,2,75
 ittamadu,4,600,3,90
Doddakannelli,3,1475,3,120
Harlur,2,1754,2,120
Rayasandra,2,1639,2,68.5
Hennur Road,2,1804,2,90
Whitefield,2,1200,2,68
Anand Nagar,3,1135,3,75
Begur Road,2,1260,2,55
Peenya,2,1440,2,46
Hennur Road,2,2160,2,61
Rayasandra,3,700,3,95
Rachenahalli,2,1220,2,44
Margondanahalli,3,1200,3,110
Yelahanka,2,1300,2,46
Cox Town,2,605,2,61
Vijayanagar,2,1230,2,46
Bhoganhalli,2,1444,2,60
Amruthahalli,2,924,2,68
Kaikondrahalli,3,1000,2,115
Vishveshwarya Layout,2,600,2,48
Patelappa Layout,2,1200,2,56
Bisuvanahalli,2,845,2,98
Kanakpura Road,2,700,2,46
Kothanur,2,1187,2,69
Kaggadasapura,2,1625,2,46
 Devarachikkanahalli,2,1200,2,46
Pulkeshi Nagar,2,1452.55,2,65
"Thanisandra Main Road, ",2,2357,2,46
Kaval Byrasandra,3,1200,3,95
Budigere,2,1139,2,72
Basavangudi,2,600,2,46
Kanakpura Road,5,1660,5,245
Jayanagar,2,1170,2,46
Somasundara Palya,2,1448,2,46
Kadugodi,2,1762,2,56
Kaggadasapura,2,1105,2,46
Yelahanka,2,1825,2,44
 Bhoganhalli,2,296,2,60
Kumbalgodu,2,1200,2,70
Thanisandra,2,1185,2,46
Electronic City Phase II,2,1320,2,70
Hulimavu,3,1058,3,89
Bellandur,2,1220,2,60
Sarjapur,2,925,2,46
Old Madras Road,3,1200,3,165
Kengeri,2,1160,2,47.5
Kengeri Satellite Town,2,600,2,55.11
banashankari stage iii sa,2,1411,2,54.89
Bannerghatta Road,8,1550,8,310
Green Glen Layout,2,3250,2,70
Haralur Road,2,2475,2,44
Jakkur,4,2249.81 - 4112.19,5,154
7th Phase JP Nagar,2,2503,2,47
Marathahalli,2,2524,2,53
Kaggadasapura,2,1063,2,61
Kanakpura Road,3,1077,3,100
Manayata Tech Park,2,1200,2,46
Hosakerehalli,4,1500,4,154
Jalahalli,2,1045,2,67.38
Kanakapura,2,1290,2,46
Hoodi,2,1400,2,44
Begur Road,3,1600,3,115
Jayanagar,3,3095,3,110
Nagavara,2,1545,2,47
Sarjapur  Road,2,1680,2,43
Amruthnagar,2,1350,2,44
Gottigere,2,950,2,46
Thanisandra,3,1050,3,125
Banashankari Stage V,2,1305,2,43
Hosakerehalli,3,800,3,110
Kodichikkanahalli,2,2700,2,44
MS Pallya,3,1100,4,130
Thanisandra,2,3500,2,73
Begur Road,2,1634,2,47
Prithvi Layout,2,1352,2,46
Balagere,3,1145,3,110
